,n,title,author,rating,num_ratings,num_reviews,descrip,isbn,isbn13,binding,edition,pages,published_on,genres
465,24536832,Song Bird: Matters of the Heart,Christine M. Knight,4.57,37 ratings,32   reviews,"“I’m not Mavis anymore.” For years, song bird Nikki Mills (aka Mavis Mills) dreamed of the freedom and lifestyle that came with being a platinum record artist. To get there, she put her career and son first and her love life on hold. Now an international singing sensation, Nikki discovers her reality is very different from what she had imagined. Determined not to be caged by the fan and media circus, Nikki struggles to protect her son, their relationship and lifestyle. That struggle is complicated by her desire for a love life. The unearthing of Nikki’s dark past, known only to her inner circle, creates a paparazzi whirlwind that threatens to destroy her. Can she find the courage to withstand the media storm? Can she transcend her past? How will she resolve matters of the heart? Set between 2000 and 2002, the themes in Song Bird centre on discovery, belonging, transformation, dealing with adversity, and matters of the heart.",1979854890,9781979854894,Paperback,,304 pages,Published       February 2nd 2015        by Highlight Publishing,[]
466,12476820,Partials,Dan Wells,3.94,"50,498 ratings","4,544   reviews","Humanity is all but extinguished after a war with Partials—engineered organic beings identical to humans—has decimated the population. Reduced to only tens of thousands by a weaponized virus to which only a fraction of humanity is immune, the survivors in North America have huddled together on Long Island. But sixteen-year-old Kira is determined to find a solution. As she tries desperately to save what is left of her race, she discovers that that the survival of both humans and Partials rests in her attempts to answer questions about the war's origin that she never knew to ask.Playing on our curiosity of and fascination with the complete collapse of civilization, Partials is, at its heart, a story of survival, one that explores the individual narratives and complex relationships of those left behind, both humans and Partials alike—and of the way in which the concept of what is right and wrong in this world is greatly dependent on one's own point of view.Supports the Common Core State Standards.",0062071041,9780062071040,Hardcover,1st Edition,468 pages,Published       February 28th 2012        by Balzer + Bray,"['Young Adult', 'Science Fiction', 'Dystopia', 'Science Fiction']"
467,17799,"South of the Border, West of the Sun",Haruki Murakami,3.87,"76,251 ratings","4,587   reviews","Alternate cover edition here.Growing up in the suburbs of post-war Japan, it seemed to Hajime that everyone but him had brothers and sisters. His sole companion was Shimamoto, also an only child. Together they spent long afternoons listening to her father's record collection. But when his family moved away, the two lost touch. Now Hajime is in his thirties. After a decade of drifting he has found happiness with his loving wife and two daughters, and success running a jazz bar. Then Shimamoto reappears. She is beautiful, intense, enveloped in mystery. Hajime is catapulted into the past, putting at risk all he has in the present.",0099448572,9780099448570,Paperback,,190 pages,Published       December 1st 2006        by Vintage                       (first published 1992),"['Fiction', 'Cultural', 'Japan', 'Asian Literature', 'Japanese Literature']"
468,31408159,Memories Of My Future,Ammar Habib,4.17,849 ratings,109   reviews,"Winner of the 2017 Independent Press Award!#1 Bestseller in Historical FictionLook into the past and you can change the future. In Memories Of My Future, Dr. Avinash Singh is the type of surgeon that other physicians envy, and has the world in his hands. That is until tragedy strikes—and it’s a tragedy that puts him on the ropes, forcing him to revisit his greatest nightmares. It makes him realize that the successful life he had been living has been a façade. To overcome this, he will have to take a glimpse into the past and begin a journey that will teach him where true strength comes from. Along the way, he will see the heroism in his bloodline. He will witness the story of the first nation to defeat Genghis Khan’s army. He will walk alongside the revolutionary whose love for his wife was so strong that even the mighty British Empire could not break it. But the true message Avinash will realize is that the greatest gift Man has is their mind. And once the mind is unlocked, all the answers to Man’s problems will be right before their eyes.What Readers are Saying:""I have been reading books by and about South Asians this year, and this one was a light, inspirational one. I love the authors' belief in the beauty and strength of multiculturalism.""""Great reading for anyone wanting an uplifting novel. The history of a person's ancestry could be inspiring for the descendants. This story can help anyone who reads it. It shows what faith in self and others, and the infinite to universe can do. If only the human world can understand that love can conquer all and PEACE can prevail.""",English,English,Kindle Edition,,308 pages,Published       July 26th 2016        by Sinha Medical Device,"['Historical', 'Historical', 'Historical Fiction', 'Cultural', 'Pakistan', 'Cultural', 'Cultural', 'India']"
469,599,"Sex, Drugs, and Cocoa Puffs: A Low Culture Manifesto",Chuck Klosterman,3.74,"62,702 ratings","3,405   reviews","Countless writers and artists have spoken for a generation, but no one has done it quite like Chuck Klosterman. With an exhaustive knowledge of popular culture and an almost effortless ability to spin brilliant prose out of unlikely subject matter, Klosterman attacks the entire spectrum of postmodern America: reality TV, Internet porn, Pamela Anderson, literary Jesus freaks, and the real difference between apples and oranges (of which there is none). And don't even get him started on his love life and the whole Harry-Met-Sally situation. Whether deconstructing Saved by the Bell episodes or the artistic legacy of Billy Joel, the symbolic importance of The Empire Strikes Back or the Celtics/Lakers rivalry, Chuck will make you think, he'll make you laugh, and he'll drive you insane -- usually all at once. Sex, Drugs, and Cocoa Puffs is ostensibly about art, entertainment, infotainment, sports, politics, and kittens, but -- really -- it's about us. All of us. As Klosterman realizes late at night, in the moment before he falls asleep, ""In and of itself, nothing really matters. What matters is that nothing is ever 'in and of itself.'"" Read to believe.",0743236017,9780743236010,Paperback,1st Scribner trade paperback edition,272 pages,Published       July 2nd 2004        by Scribner                       (first published July 20th 2003),"['Nonfiction', 'Writing', 'Essays', 'Humor', 'Culture', 'Pop Culture', 'Music']"
470,68527,The Last Kingdom,Bernard Cornwell,4.25,"63,142 ratings","3,625   reviews","This is the story of the making of England in the 9th and 10th centuries, the years in which King Alfred the Great, his son and grandson defeated the Danish Vikings who had invaded and occupied three of England’s four kingdoms.The story is seen through the eyes of Uhtred, a dispossessed nobleman, who is captured as a child by the Danes and then raised by them so that, by the time the Northmen begin their assault on Wessex (Alfred’s kingdom and the last territory in English hands) Uhtred almost thinks of himself as a Dane. He certainly has no love for Alfred, whom he considers a pious weakling and no match for Viking savagery, yet when Alfred unexpectedly defeats the Danes and the Danes themselves turn on Uhtred, he is finally forced to choose sides. By now he is a young man, in love, trained to fight and ready to take his place in the dreaded shield wall. Above all, though, he wishes to recover his father’s land, the enchanting fort of Bebbanburg by the wild northern sea.This thrilling adventure—based on existing records of Bernard Cornwell’s ancestors—depicts a time when law and order were ripped violently apart by a pagan assault on Christian England, an assault that came very close to destroying England.",0060887184,9780060887186,Paperback,,351 pages,Published       January 3rd 2006        by Harper Paperbacks                       (first published 2004),"['Historical', 'Historical Fiction', 'Fiction', 'Historical', 'Fantasy']"
471,18754855,The Meat Market,James Chalk,3.64,429 ratings,102   reviews,"For mature readers only. This pulp, cyberpunk, technothriller has profanity, violence, sexual situations, and an atheist protagonist. There are some disturbing scenes that may upset the more sensitive reader. For Jonathan Harkon, living life in exile is never easy. Forced into hiding his true identity and leaving the only home and family he's ever known, Jonathan finds himself halfway across the solar system, smuggling condoms for the religiously-oppressed citizens of an outer-system colony named Sanctity. It isn't long before his cover as a bouncer for a local ""bikini-bar"" is questioned, and he is quickly embroiled in Sanctity's hardcore, underground, sex-slave trade. With few friends by his side and only his ship, the HMS Mary Rose, to rely upon, Jonathan will need every ounce of the strength and skill that his heavily enhanced, genetically-engineered body can manage, if he means to survive and expose the terrible truth behind Sanctity's ""Meat Market."" Set in the not too distant future, ""The Meat Market"" is the first short novel in author James Chalk's ""Jonathan Harkon Adventure"" series.",English,English,Kindle Edition,,123 pages,Published       November 3rd 2013        by JRH Publishing,"['Science Fiction', 'Science Fiction', 'Dystopia', 'Science Fiction', 'Cyberpunk', 'Pulp', 'Space', 'Space Opera', 'Fiction']"
472,9596460,The End of Everything,Megan Abbott,3.32,"12,599 ratings","1,651   reviews","Thirteen-year-old Lizzie Hood and her next-door neighbor, Evie Verver, are inseparable, best friends who swap clothes, bathing suits, and field-hockey sticks and between whom, presumably, there are no secrets. Then one afternoon, Evie disappears, and as a rabid, giddy panic spreads through the balmy suburban community, everyone turns to Lizzie for answers. Was Evie unhappy, troubled, or upset? Had she mentioned being followed? Would she have gotten into the car of a stranger?Compelled by curiosity, Lizzie takes up her own furtive pursuit of the truth. Haunted by dreams of her lost friend and titillated by her own new power as the center of the disappearance, Lizzie uncovers secret after secret and begins to wonder if she knew anything at all about her best friend.",0316097799,9780316097796,Hardcover,,246 pages,Published       July 7th 2011        by Reagan Arthur Books                       (first published 2011),"['Fiction', 'Mystery', 'Young Adult', 'Thriller', 'Contemporary']"
473,8204005,Love Unscripted,Tina Reber,4.03,"66,263 ratings","3,463   reviews","An A-List Movie Star. . . Ryan Christensen just wanted to be an actor. Never in his wildest dreams did he imagine a life where fans would chase him, paparazzi would stalk him, and Hollywood studios would want to own him. While filming in Seaport, Rhode Island, Ryan ducks into a neighborhood bar for a quick escape from legions of screaming fans . . . and finds much more than he expected. A Small-Town Girl. . . Nursing a recent heartbreak, Taryn Mitchell believes men are best kept at a safe distance. But when Ryan Christensen unexpectedly bursts through the front door of her pub, she can’t help but be drawn in by his humor, charm, and undeniable good looks. At six foot two, with dirty blond hair, blue eyes, and an incredible body, Ryan has every girl in Seaport swooning. But Taryn isn’t every other girl. A Relationship That Doesn’t Follow the Script. . . Despite her better judgment, Taryn soon finds herself falling hard for Ryan. But is their bond strong enough to survive the tabloid headlines, the relentless paparazzi, and the jealous fans who seem determined to tear them apart?",1451533969,9781451533965,Paperback,,668 pages,Published       March 6th 2010        by CreateSpace Independent Publishing Platform,"['Romance', 'Contemporary', 'Romance', 'Contemporary Romance', 'New Adult', 'Adult']"
474,2679633,Pleasure Unbound,Larissa Ione,4.06,"47,016 ratings","2,458   reviews","In a place where ecstasy can cost you your life . . .She's a demon-slayer who hungers for sensual pleasure-but fears it will always be denied her. Until Tayla Mancuso lands in a hospital run by demons in disguise, and the head doctor, Eidolon, makes her body burn with unslakable desire. But to prove her ultimate loyalty to her peers, she must betray the surgeon who saved her life.Two lovers will dare to risk all.Eidolon cannot resist this fiery, dangerous woman who fills him with both rage and passion. Not only is she his avowed enemy, but she could very well be the hunter who has been preying upon his people. Torn between his need for the truth and his quest to find his perfect mate before a horrific transformation claims him forever, Eidolon will dare the unthinkable-and let Tayla possess him, body and soul . . .",044640103X,9780446401036,Mass Market Paperback,,389 pages,Published       July 1st 2008        by Forever,"['Romance', 'Paranormal Romance', 'Fantasy', 'Paranormal', 'Romance', 'Paranormal', 'Demons', 'Fantasy', 'Fantasy', 'Urban Fantasy', 'Paranormal', 'Vampires']"
475,28356624,Carry On,Rainbow Rowell,4.23,"151,928 ratings","22,216   reviews","A #1 New York Times-bestseller Simon Snow is the worst Chosen One who's ever been chosen.That's what his roommate, Baz, says. And Baz might be evil and a vampire and a complete git, but he's probably right.Half the time, Simon can't even make his wand work, and the other half, he starts something on fire. His mentor's avoiding him, his girlfriend broke up with him, and there's a magic-eating monster running around, wearing Simon's face. Baz would be having a field day with all this, if he were here — it's their last year at the Watford School of Magicks, and Simon's infuriating nemesis didn't even bother to show up.Carry On is a love letter to love stories and the power of words - to every 'chosen one' who ever had more on their mind than saving the world.",1447266943,9781447266945,Paperback,,522 pages,Published       February 25th 2016        by Macmillan                       (first published October 6th 2015),"['Fantasy', 'Young Adult', 'LGBT', 'Romance']"
476,592657,Deliverance,James Dickey,3.88,"28,654 ratings","1,228   reviews","The setting is the Georgia wilderness, where the state's most remote white-water river awaits. In the thundering froth of that river, in its echoing stone canyons, four men on a canoe trip discover a freedom and exhilaration beyond compare. And then, in a moment of horror, the adventure turns into a struggle for survival as one man becomes a human hunter who is offered his own harrowing deliverance.",038531387X,9780385313872,Paperback,,288 pages,Published       September 10th 1994        by Delta                       (first published 1970),"['Fiction', 'Classics', 'Thriller', 'Horror', 'Adventure', 'Literature', 'Novels', 'Suspense', 'American', 'Southern', 'Literary Fiction']"
477,14287,Almost Transparent Blue,Ryū Murakami,3.25,"8,044 ratings",491   reviews,"Almost Transparent Blue is a brutal tale of lost youth in a Japanese port town close to an American military base. Murakami's image-intensive narrative paints a portrait of a group of friends locked in a destructive cycle of sex, drugs and rock'n'roll. The novel is all but plotless, but the raw and often violent prose takes us on a rollercoaster ride through reality and hallucination, highs and lows, in which the characters and their experiences come vividly to life. Trapped in passivity, they gain neither passion nor pleasure from their adventures. Yet out of the alienation, boredom and underlying rage and grief emerges a strangely quiet and almost equally shocking beauty. Ryu Murakami's first novel, Almost Transparent Blue won the coveted Akutagawa literary prize and became an instant bestseller. Representing a sharp and conscious turning away from the introspective trend of postwar Japanese literature, it polarized critics and public alike and soon attracted international attention as an alternative view of modern Japan.",9784770029041,9784770029041,Paperback,,126 pages,Published       April 11th 2003        by Kodansha                       (first published 1976),"['Fiction', 'Cultural', 'Japan', 'Asian Literature', 'Japanese Literature']"
478,18149927,Beneath This Man,Jodi Ellen Malpas,4.29,"80,972 ratings","3,977   reviews","Book #2 of the erotic This Man trilogyJesse Ward drowned her with his intensity and blindsided her with his passion, but he kept her away from his dark secrets and broken soul. Leaving him was the only way Ava O'Shea could survive. She should have known that Jesse Ward is impossible to escape--and now he's back in her life, determined to remind her of the sensual pleasures they had shared. Ava is equally determined to get at the truth beneath this man's steely exterior. That means letting herself get close to the Lord of the Manor once more. And it's exactly where Jesse wants her--within touching distance...",B00DB7RDR2,B00DB7RDR2,Kindle Edition,2nd Edition,452 pages,Published       June 18th 2013        by Forever,"['Romance', 'Adult Fiction', 'Erotica', 'Erotica', 'BDSM', 'Romance', 'Contemporary Romance', 'Contemporary']"
479,2029177,Sundays at Tiffany's,James Patterson,3.76,"63,405 ratings","5,975   reviews","As a little girl, Jane has no one. Her mother, the powerful head of a Broadway theater company, has no time for her. She does have one friend-a handsome, comforting, funny man named Michael-but only she can see him. Years later, Jane is in her thirties and just as alone as ever. Then she meets Michael again-as handsome, smart and perfect as she remembers him to be. But not even Michael knows the reason they've really been reunited.SUNDAYS AT TIFFANY'S is a love story with an irresistible twist, a novel about the child inside all of us-and the boundary-crossing power of love.",031601477X,9780316014779,Hardcover,,309 pages,Published       May 12th 2008        by Little Brown and Company                       (first published January 1st 2008),"['Romance', 'Fiction', 'Womens Fiction', 'Chick Lit', 'Fantasy']"
480,8716,Lincoln,Gore Vidal,4.20,"7,844 ratings",487   reviews,"Gore Vidal's Narratives of Empire series spans the history of the United States from the Revolution to the post-World War II years. With their broad canvas and large cast of fictional and historical characters, the novels in this series present a panorama of the American political and imperial experience as interpreted by one of its most worldly, knowing, and ironic observers.To most Americans, Abraham Lincoln is a monolithic figure, the Great Emancipator and Savior of the Union, beloved by all. In Gore Vidal's Lincoln we meet Lincoln the man and Lincoln the political animal, the president who entered a besieged capital where most of the population supported the South and where even those favoring the Union had serious doubts that the man from Illinois could save it. Far from steadfast in his abhorrence of slavery, Lincoln agonizes over the best course of action and comes to his great decision only when all else seems to fail. As the Civil War ravages his nation, Lincoln must face deep personal turmoil, the loss of his dearest son, and the harangues of a wife seen as a traitor for her Southern connections. Brilliantly conceived, masterfully executed, Gore Vidal's Lincoln allows the man to breathe again.",0375708766,9780375708763,Paperback,,672 pages,Published       February 15th 2000        by Vintage                       (first published 1984),"['Historical', 'Historical Fiction', 'Fiction', 'Military History', 'Civil War', 'Historical']"
481,7800188,Virals,Kathy Reichs,3.94,"34,857 ratings","2,809   reviews","Tory Brennan, niece of acclaimed forensic anthropologist Temperance Brennan (of the Bones novels and hit TV show), is the leader of a ragtag band of teenage ""sci-philes"" who live on a secluded island off the coast of South Carolina. When the group rescues a dog caged for medical testing on a nearby island, they are exposed to an experimental strain of canine parvovirus that changes their lives forever.As the friends discover their heightened senses and animal-quick reflexes, they must combine their scientific curiosity with their newfound physical gifts to solve a cold-case murder that has suddenly become very hot if they can stay alive long enough to catch the killer's scent.Fortunately, they are now more than friends. They're a pack. They are Virals.",1595143424,9781595143426,Hardcover,,454 pages,Published       November 2nd 2010        by Penguin Razorbill,"['Young Adult', 'Mystery', 'Science Fiction']"
482,12995284,Dreamless,Josephine Angelini,4.19,"37,585 ratings","2,342   reviews","Can true love be FORGOTTEN?As the only Scion who can descend into the Underworld, Helen Hamilton has been given a nearly impossible task. By night she wanders through Hades, trying to stop the endless cycle of revenge that has cursed her family. By day she struggles to overcome the fatigue that is rapidly eroding her sanity. Without Lucas by her side, Helen is not sure she has the strength to go on.Just as Helen is pushed to her breaking point, a mysterious new Scion comes to her rescue. Funny and brave, Orion shields her from the dangers of the Underworld. But time is running out - a ruthless foe plots against them, and the Furies' cry for blood is growing louder.As the ancient Greek world collides with the mortal one, Helen's sheltered life on Nantucket descends into chaos. But the hardest task of all will be forgetting Lucas Delos.Josephine Angelini's compelling saga becomes ever more intricate and spellbinding as an unforgettable love triangle emerges and the eternal cycle of revenge intensifies. Eagerly awaited, this sequel to the internationally bestselling STARCROSSED delivers a gritty, action-packed love story that exceeds all expectations.",0062012010,9780062012012,Hardcover,,487 pages,Published       May 29th 2012        by HarperTeen,"['Fantasy', 'Young Adult', 'Fantasy', 'Mythology', 'Romance', 'Fantasy', 'Paranormal']"
483,672875,Le Morte d'Arthur: King Arthur and the Legends of the Round Table,Thomas Malory,3.93,"33,102 ratings",847   reviews,"In a time when there were damsels in distress to save, and mythical dragons to slay, King Arthur and his knights of the Round Table were there to render justice in the face of any danger. From the incredible wizardry of Merlin to the undeniable passion of Sir Launcelot, these tales of Arthur and his knights offer epic adventures with the supernatural, as well as timeless battles with our humanity.",0451528166,9780451528162,Mass Market Paperback,,512 pages,Published       October 1st 2001        by Signet Classics                       (first published 1485),"['Classics', 'Fantasy', 'Fiction', 'Mythology', 'Arthurian', 'Fantasy', 'Mythology', 'Historical', 'Historical Fiction']"
484,16130549,Doctor Sleep,Stephen King,4.10,"149,557 ratings","15,859   reviews","Stephen King returns to the characters and territory of one of his most popular novels ever, The Shining, in this instantly riveting novel about the now middle-aged Dan Torrance (the boy protagonist of The Shining) and the very special 12-year-old girl he must save from a tribe of murderous paranormals.On highways across America, a tribe of people called The True Knot travel in search of sustenance. They look harmless - mostly old, lots of polyester, and married to their RVs. But as Dan Torrance knows, and spunky 12-year-old Abra Stone learns, The True Knot are quasi-immortal, living off the ""steam"" that children with the ""shining"" produce when they are slowly tortured to death.Haunted by the inhabitants of the Overlook Hotel where he spent one horrific childhood year, Dan has been drifting for decades, desperate to shed his father's legacy of despair, alcoholism, and violence. Finally, he settles in a New Hampshire town, an AA community that sustains him, and a job at a nursing home where his remnant ""shining"" power provides the crucial final comfort to the dying. Aided by a prescient cat, he becomes ""Doctor Sleep.""Then Dan meets the evanescent Abra Stone, and it is her spectacular gift, the brightest shining ever seen, that reignites Dan's own demons and summons him to a battle for Abra's soul and survival. This is an epic war between good and evil, a gory, glorious story that will thrill the millions of hyper-devoted fans of The Shining and wildly satisfy anyone new to the territory of this icon in the King canon.",1476727651,9781476727653,Hardcover,,531 pages,Published       September 24th 2013        by Scribner,"['Horror', 'Fiction', 'Thriller', 'Fantasy']"
485,301736,Guess How Much I Love You,Sam McBratney,4.36,"117,130 ratings","1,618   reviews","""Guess how much I love you,"" says Little Nutbrown Hare. Little Nutbrown Hare shows his daddy how much he loves him: as wide as he can reach and as far as he can hop. But Big Nutbrown Hare, who can reach farther and hop higher, loves him back just as much. Well then Little Nutbrown Hare loves him right up to the moon, but that's just halfway to Big Nutbrown Hare's love for him.",076360013X,9780763600136,Board book,,20 pages,Published       January 27th 2005        by Candlewick                       (first published 1988),"['Childrens', 'Picture Books', 'Childrens']"
486,17020,13 Little Blue Envelopes,Maureen Johnson,3.64,"75,409 ratings","4,770   reviews","Inside little blue envelope 1 are $1,000 and instructions to buy a plane ticket.In envelope 2 are directions to a specific London flat.The note in envelope 3 tells Ginny: Find a starving artist.Because of envelope 4, Ginny and a playwright/thief/ bloke about town called Keith go to Scotland together, with somewhat disastrous though utterly romantic results. But will she ever see him again?Everything about Ginny will change this summer, and it's all because of the 13 little blue envelopes.Ages 12+""",0060541431,9780060541439,Paperback,Extras Inside,322 pages,Published       December 21st 2010        by HarperCollins Publishers                       (first published August 23rd 2005),"['Young Adult', 'Contemporary', 'Romance', 'Fiction']"
487,360,Mostly Harmless,Douglas Adams,3.97,"98,515 ratings","2,290   reviews","It’s easy to get disheartened when your planet has been blown up, the woman you love has vanished in a misunderstanding about space/time, the spaceship you are on crashes on a remote and Bob-fearing planet, and all you have to fall back on is a few simple sandwich-making skills. However, instead of being disheartened, Arthur Dent makes the terrible mistake of starting to enjoy life a bit and, immediately, all hell breaks loose.Hell takes a number of forms: there’s the usual Ford Prefect form of hell, fresh hell in the form of an all-new version of The Hitchhiker’s Guide to the Galaxy, and a totally unexpected hell in the form of a teenage girl who startles Arthur Dent by being his daughter when he didn’t even know he had one.Can Arthur save the Earth from total multidimensional obliteration? Can he save the Guide from a hostile alien takeover? Can he save his daughter, Random, from herself? Of course not. He never works out what is going on, exactly. Will you?",0345418778,9780345418777,Mass Market Paperback,,240 pages,Published       February 2000        by Ballantine / Del Rey / Fawcett / Ivy                       (first published October 12th 1992),"['Science Fiction', 'Fiction', 'Humor', 'Fantasy']"
488,18656036,The Fever,Megan Abbott,3.12,"21,197 ratings","2,771   reviews","In this impossible-to-put-down ""panic attack of a novel,"" a small-town high school becomes the breeding ground for a mysterious illness.Deenie Nash is a diligent student with a close-knit family; her brother Eli is a hockey star, and her father is a popular teacher. But when Deenie's best friend is struck by a terrifying, unexplained seizure in class, the Nashes' seeming stability dissolves into chaos. As rumors of a hazardous outbreak spread through school, and hysteria and contagion swell, a series of tightly held secrets emerges, threatening to unravel friendships, families, and the town's fragile sense of security.The Fever is a chilling story about guilt, lies, and the lethal power of desire.",0316231053,9780316231053,Hardcover,,307 pages,"Published       June 17th 2014        by Little, Brown and Company","['Fiction', 'Mystery', 'Young Adult', 'Thriller', 'Contemporary', 'Horror', 'Suspense']"
489,13623150,Destroy Me,Tahereh Mafi,4.25,"61,005 ratings","6,292   reviews","Perfect for the fans of Shatter Me who are desperately awaiting the release of Unravel Me, this novella-length digital original will bridge the gap between these two novels from the perspective of the villain we all love to hate, Warner, the ruthless leader of Sector 45.In Tahereh Mafi’s Shatter Me, Juliette escaped from The Reestablishment by seducing Warner—and then putting a bullet in his shoulder. But as she’ll learn in Destroy Me, Warner is not that easy to get rid of. . .Back at the base and recovering from his near-fatal wound, Warner must do everything in his power to keep his soldiers in check and suppress any mention of a rebellion in the sector. Still as obsessed with Juliette as ever, his first priority is to find her, bring her back, and dispose of Adam and Kenji, the two traitors who helped her escape. But when Warner’s father, The Supreme Commander of The Reestablishment, arrives to correct his son’s mistakes, it’s clear that he has much different plans for Juliette. Plans Warner simply cannot allow.Set after Shatter Me and before its forthcoming sequel, Unravel Me, Destroy Me is a novella told from the perspective of Warner, the ruthless leader of Sector 45.",0062208195,9780062208194,ebook,,109 pages,Published       October 2nd 2012        by Harper,"['Young Adult', 'Science Fiction', 'Dystopia', 'Fantasy', 'Romance', 'Novella']"
490,153025,Heart-Shaped Box,Joe Hill,3.83,"94,492 ratings","7,836   reviews","Aging, self-absorbed rock star Judas Coyne has a thing for the macabre -- his collection includes sketches from infamous serial killer John Wayne Gacy, a trepanned skull from the 16th century, a used hangman's noose, Aleister Crowley's childhood chessboard, etc. -- so when his assistant tells him about a ghost for sale on an online auction site, he immediately puts in a bid and purchases it. The black, heart-shaped box that Coyne receives in the mail not only contains the suit of a dead man but also his vengeance-obsessed spirit. The ghost, it turns out, is the stepfather of a young groupie who committed suicide after the 54-year-old Coyne callously used her up and threw her away. Now, determined to kill Coyne and anyone who aids him, the merciless ghost of Craddock McDermott begins his assault on the rocker's sanity.",0061147931,9780061147937,Hardcover,First Edition,376 pages,Published       February 13th 2007        by William Morrow,"['Horror', 'Fiction', 'Thriller', 'Fantasy', 'Paranormal', 'Paranormal', 'Ghosts']"
491,271074,Tree of Smoke,Denis Johnson,3.53,"10,568 ratings","1,264   reviews","
Once upon a time there was a war . . . and a young American who thought of himself as the Quiet American and the Ugly American, and who wished to be neither, who wanted instead to be the Wise American, or the Good American, but who eventually came to witness himself as the Real American and finally as simply the Fucking American. That’s me.
This is the story of Skip Sands—spy-in-training, engaged in Psychological Operations against the Vietcong—and the disasters that befall him thanks to his famous uncle, a war hero known in intelligence circles simply as the Colonel. This is also the story of the Houston brothers, Bill and James, young men who drift out of the Arizona desert into a war in which the line between disinformation and delusion has blurred away. In its vision of human folly, and its gritty, sympathetic portraits of men and women desperate for an end to their loneliness, whether in sex or death or by the grace of God, this is a story like nothing in our literature.Tree of Smoke is Denis Johnson’s first full-length novel in nine years, and his most gripping, beautiful, and powerful work to date.Tree of Smoke is the 2007 National Book Award Winner for Fiction.",0374279128,9780374279127,Hardcover,,614 pages,"Published       September 4th 2007        by Farrar, Straus and Giroux                       (first published September 4th 2004)","['Fiction', 'War', 'Historical', 'Historical Fiction', 'Novels']"
492,144800,The Raw Shark Texts,Steven Hall,3.87,"15,558 ratings","1,753   reviews","Eric Sanderson wakes up in a house one day with no idea who or where he is. A note instructs him to see a Dr. Randle immediately, who informs him that he is undergoing yet another episode of acute memory loss that is a symptom of his severe dissociative disorder. Eric's been in Dr. Randle's care for two years -- since the tragic death of his great love, Clio, while the two vacationed in the Greek islands.But there may be more to the story, or it may be a different story altogether. As Eric begins to examine letters and papers left in the house by ""the first Eric Sanderson,"" a staggeringly different explanation for what is happening to Eric emerges, and he and the reader embark on a quest to recover the truth and escape the remorseless predatory forces that threatens to devour him.The Raw Shark Texts is a kaleidoscopic novel about the magnitude of love and the devastating effect of losing that love. It will dazzle you, it will move you, and will leave an indelible imprint like nothing you have read in a long time.",1841959111,9781841959115,Hardcover,First Edition,427 pages,Published       April 10th 2007        by Canongate Us                       (first published January 1st 2007),"['Fiction', 'Fantasy', 'Science Fiction', 'Mystery']"
493,8680,Fierce Invalids Home from Hot Climates,Tom Robbins,4.03,"25,458 ratings","1,211   reviews","""As clever and witty a novel as anyone has written in a long time . . . Robbins takes readers on a wild, delightful ride. . . . A delight from beginning to end.""--Buffalo NewsSwitters is a contradiction for all seasons: an anarchist who works for the government; a pacifist who carries a gun; a vegetarian who sops up ham gravy; a cyberwhiz who hates computers; a man who, though obsessed with the preservation of innocence, is aching to deflower his high-school-age stepsister (only to become equally enamored of a nun ten years his senior). Yet there is nothing remotely wishy-washy about Switters. He doesn't merely pack a pistol. He is a pistol. And as we dog Switters's strangely elevated heels across four continents, in and out of love and danger, discovering in the process the ""true"" Third Secret of Fatima, we experience Tom Robbins--that fearless storyteller, spiritual renegade, and verbal break dancer--at the top of his game. On one level this is a fast-paced CIA adventure story with comic overtones; on another it's a serious novel of ideas that brings the Big Picture into unexpected focus; but perhaps more than anything else, Fierce Invalids is a sexy celebration of language and life.Praise for Fierce Invalids Home From Hot Climates""Superb.""--New York Post""Dangerous? Wicked? Forbidden? You bet. . . . Pour yourself a bowl of chips and dig in.""--Daily News, New York ""Robbins is a great writer . . . and definitely a provocative rascal.""--The Tennessean""Whoever said truth is stranger than fiction never read a Tom Robbins novel. . . Clever, creative, and witty, Robbins tosses off impassioned observations like handfuls of flower petals.""--
San Diego Union-Tribune
",055337933X,9780553379334,Paperback,,445 pages,Published       May 29th 2001        by Bantam                       (first published September 5th 2000),"['Fiction', 'Humor', 'Novels', 'Literature']"
